,formatted_data,seven_digit,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id
5172,F.I.R. - Si Xin De Li You,1095378,248.0322,0.0,6,0.297,-6.351,1,0.426,235.294,101.471,7,0.435,b'TRAQJBM128F428DA47'
5173,Slim Whitman - China Doll,2717806,170.81424,0.0,4,0.64,-9.681,1,0.6,164.809,107.584,4,0.719,b'TRAQJOP128F424C3D2'
5174,Spectra Soul - The Tube,2771600,303.51628,0.0,4,0.391,-7.751,1,0.412,289.977,85.006,4,0.52,b'TRAQJAU128F42585AD'
5175,Geier Sturzflug - Bruttosozialprodukt,661468,186.51383,0.148,2,0.571,-6.54,1,0.517,180.814,165.979,4,0.364,b'TRAQJAM128F14AC5E8'
5176,The Glencastle Sound - Medley: Bobby Stenhouse; Braes Of Gleniffer; Girl In A Blue Dress,6249896,3.5522,0.0,2,0.0,-15.118,1,0.0,3.552,110.76,3,0.143,b'TRAQJKM128F93578DA'
5177,Alturas - Turu wilakuy,4615225,293.90322,8.197,0,0.492,-14.956,1,0.573,274.471,78.01,4,0.0,b'TRAQJAO128F93289C4'
5178,Dolly Parton - I'm Running Out Of Love,3300970,125.33506,0.42,10,0.728,-10.609,1,0.709,116.5,100.06,4,0.681,b'TRAQJFK128F428508A'
5179,Muse - Can't Take My Eyes Off You,5770999,211.12118,0.177,0,0.705,-5.646,1,0.573,204.074,126.725,4,0.626,b'TRAQJMP128F92E3821'
5180,Badmarsh & Shri - Dancing Drums,221601,497.13587,0.717,5,0.799,-9.507,1,0.81,478.894,96.028,5,1.0,b'TRAQJSB128F1454BB2'
5181,YZ - Love,8884284,287.37261,0.0,0,0.51,-14.64,0,0.323,261.979,43.991,1,0.0,b'TRAQJNQ12903CBD304'
5182,Brainchoke - Crystal Clear,4342928,87.14404,0.125,11,0.099,-3.254,0,0.362,83.273,137.07,4,0.113,b'TRAQJOE128F92F1D58'
5183,In Extremo - Frei zu sein,2504150,186.06975,0.369,9,0.492,-2.136,0,0.439,176.495,170.095,4,0.0,b'TRAQCKG128F421C277'
5184,The Steeles - Left Behind,2600019,241.26649,0.183,4,0.242,-10.277,1,0.345,228.902,71.911,1,0.647,b'TRAQCXM128F4230BAD'
5185,The Incurables - Finally,6529478,276.63628,0.2,7,0.632,-9.254,1,0.659,255.837,99.139,4,0.816,b'TRAQCTA12903CCE568'
5186,John Ottman - Entanglement,665656,79.77751,4.441,4,0.448,-13.501,0,0.549,69.393,69.234,1,0.254,b'TRAQCCG128F14AD361'
5187,Moss - Orchard,8226066,261.48526,0.0,8,0.411,-19.933,1,0.548,246.567,101.29,3,0.753,b'TRAQCIE12903D07754'
5188,Frank Caliendo - Now I'm All Over The Place_ Scoob (Album Version),3611016,433.47546,0.0,2,0.318,-13.149,0,0.414,433.475,124.086,7,0.499,b'TRAQCVQ128F92D2B3D'
5189,The Roots / Jaguar - We Got You (Featuring Jaguar),231125,39.18322,0.0,5,0.059,-17.317,1,0.288,39.183,218.587,4,0.799,b'TRAQCBN128F1456991'
5190,Fabri Fibra - Alla Fine Di Tutto Questo,5394031,267.36281,0.0,1,0.506,-4.41,0,0.502,262.891,160.071,4,0.948,b'TRAQCFH128F92FE30F'
5191,Christoper Titus - The Impala Incident (The Fifth Annual End Of The World Tour),761320,119.66649,0.0,6,0.482,-9.322,1,0.418,119.666,80.8,4,0.64,b'TRAQCIO128EF34C3F7'
5192,DJ Nasty - Sounds Of The City,8776068,206.70649,0.0,0,0.0,-6.6,1,0.0,196.841,150.023,4,0.0,b'TRAQCFJ128F92FFED9'
5193,Sugarbomb - Posterchild for Tragedy,3360466,260.93669,4.505,8,0.705,-6.121,1,0.631,257.747,122.761,4,0.671,b'TRAQDSN128F42934A2'
5194,Joan Sutherland - Handel: Alcina: Tornami a vagheggiar,6684784,264.12363,0.0,10,0.651,-16.553,1,0.675,258.27,138.356,3,0.698,b'TRAQDWW12903CF4274'
5195,Jeff Beck - Head For Backstage Pass,3134259,163.83955,2.264,9,0.766,-8.951,1,0.702,156.23,131.554,4,0.318,b'TRAQDXL128F4260EB8'
5196,Guitar Shorty - History Of Jody,7237350,817.37098,0.886,10,0.659,-17.135,0,0.531,812.135,103.27,4,0.474,b'TRAQDCD128F935F863'
5197,In Extremo - Signapur,4313850,233.74322,0.0,4,0.512,-3.734,0,0.505,225.448,114.127,4,0.979,b'TRAQDBO128F92ED2AC'
5198,Skeeter Davis - Santa Claus Is Coming To Town,2515926,153.96526,0.0,7,0.724,-16.87,1,0.662,143.418,150.784,4,0.0,b'TRAQDXM128F421F033'
5199,Groove Karma - Come All Over Me,5476388,206.78485,0.0,0,0.113,-7.377,1,0.35,199.488,144.045,4,0.257,b'TRAQDVL128F9311923'
5200,Love Jones - Matter Of Fact,3538026,384.13016,0.387,7,0.327,-7.479,0,0.489,377.574,102.473,4,1.0,b'TRAQDXE128F92C3197'
5201,Three 6 Mafia - Let's Plan A Robbery,3476950,213.60281,0.0,1,0.579,-10.606,1,0.534,213.603,130.298,4,0.87,b'TRAQDZZ128F42AF66A'
5202,Funeral For A Friend - Juneau [Live],6840904,251.21914,0.0,8,0.35,-4.518,0,0.448,248.674,102.889,4,0.989,b'TRAQDID128F92FF26D'
5203,Tom Petty - Wildflowers (Album Version),6001819,190.32771,0.154,5,0.912,-13.374,1,0.768,183.821,86.8,4,0.85,b'TRAQDUR128F931B4E9'
5204,Bebe Winans / Stephanie Mills - Everyday,2235110,324.93669,0.2,7,0.378,-9.2,1,0.423,310.526,144.005,4,0.445,b'TRAQDZM128F426444D'
5205,Crystals - He's A Rebel,574901,150.90893,0.189,6,0.632,-5.651,1,0.519,139.163,117.623,4,0.582,b'TRAQDYJ128F14989F8'
5206,Tony Murena - Mambo Italiano,5145800,155.14077,0.0,1,0.552,-10.631,1,0.503,147.586,213.995,1,0.0,b'TRAQVJC128F932E431'
5207,Take It Back! - These Days,8538292,204.90404,0.322,3,0.494,-4.696,0,0.44,197.683,135.264,4,0.0,b'TRAQVFU12903CDCB07'
5208,Chris Brown - I.Y.A.,7111672,188.89098,3.855,5,0.657,-6.969,1,0.453,174.225,131.953,4,0.28,b'TRAQVOG128F9340E58'
5209,Daft Punk - Da Funk,316549,329.53424,0.0,5,0.055,-5.019,0,0.419,311.025,111.201,4,1.0,b'TRAQVTO128F14696A6'
5210,Neviss - Spain,3040245,169.66485,0.316,3,0.9,-5.782,1,0.871,166.226,94.318,4,0.819,b'TRAQVMY128F424C862'
5211,Joi - What If I Kissed You Right Now?,267237,288.65261,0.087,3,0.314,-6.225,0,0.387,281.269,159.991,4,1.0,b'TRAQVUG128F145EB2E'
5212,John Mayall & The Bluesbreakers - Nature's Disappearing,3374038,292.91057,0.413,6,0.539,-9.11,0,0.639,289.808,89.949,4,0.588,b'TRAQVDI128F42969C8'
5213,Fever Ray - When I Grow Up,4501774,556.06812,0.0,9,0.099,-6.817,0,0.46,538.674,122.984,5,1.0,b'TRAQVJM128F9310F20'
5214,Thrilla U - I Love You Baby,3490187,226.95138,2.247,0,0.023,-7.66,0,0.387,213.896,92.017,4,0.828,b'TRAQVTL128F42B2A06'
5215,Little Eva - The Loco Motion,6776914,149.65506,0.177,0,0.0,-3.375,0,0.0,138.739,84.758,1,0.537,b'TRAQVSH128F92EF9A5'
5216,Philip Bailey - Silent Night,3296565,210.93832,0.252,7,0.871,-14.064,1,0.665,204.359,160.313,4,0.915,b'TRAQVLJ128F4283F4D'
5217,Don Gibson - Release Me,8031241,184.68526,0.297,7,0.095,-20.691,1,0.535,174.631,87.806,4,0.0,b'TRAQVCT12903CD7F32'
5218,Janis Joplin - Raise Your Hand,3199731,137.79546,3.164,9,0.623,-12.436,1,0.475,137.795,123.293,4,1.0,b'TRAQVWM128F426CFAD'
5219,Sneaky Sound System - Lost In The Future,4712325,225.82812,1.303,7,0.228,-3.951,1,0.554,222.203,130.053,4,0.864,b'TRAQVQM128F933DFEB'
5220,Joy Division - Transmission - [The Factory_ Manchester Live 11 April 1980],1737785,229.69424,0.0,1,0.749,-6.525,0,0.611,223.086,157.103,4,0.791,b'TRAQVUG128F4286DE3'
5221,Mikey General - I'm Wondering,4680962,220.73424,0.0,1,0.484,-13.333,1,0.533,210.977,87.858,4,0.824,b'TRAQQUQ128F933671B'
5222,Snowgoons - Starlight,3807789,232.75057,0.09,3,0.499,-2.42,0,0.473,228.421,104.705,4,0.59,b'TRAQQUX128F92F9F10'
5223,Rishi Rich - Jaan - Interlude,417027,45.45261,0.212,11,0.0,-10.817,0,0.0,45.453,95.985,4,1.0,b'TRAQQLM128F147CBFE'
5224,Irwin Goodman - Onni,717124,231.47057,3.727,4,0.002,-5.752,1,0.242,217.977,151.004,1,0.0,b'TRAQQEE128EF342942'
5225,Rise Against - 1000 Good Intentions,6177362,187.66322,0.0,9,0.398,-5.794,1,0.453,187.663,155.411,1,0.117,b'TRAQQHJ128F9345DC3'
5226,Eliane Elias - All The Things You Are,305264,201.22077,0.303,5,0.242,-28.25,0,0.365,186.027,176.138,3,0.74,b'TRAQQTW128F1466D86'
5227,Gorillaz - White Light,3087777,128.41751,2.107,2,0.251,-7.766,1,0.532,124.72,154.873,4,0.371,b'TRAQQVR128F4255A3A'
5228,Lizzy Borden - Zanzibar,6198591,386.66404,8.052,8,0.638,-4.151,1,0.474,369.023,186.075,3,0.583,b'TRAQQOG128F934B0A1'
5229,Clay Crosse - I Surrender All,5973419,286.74567,2.444,2,0.446,-7.997,1,0.524,274.309,134.864,4,0.53,b'TRAQQUC128F9314732'
5230,All Girl Summer Fun Band - Everything I Need,3992804,212.84526,0.0,0,0.723,-10.187,1,0.587,197.474,139.967,1,0.0,b'TRAQQZN128F931FA31'
5231,Hef feat. Big2 & Dio - Gedroomd,8733861,219.29751,0.0,6,0.563,-9.909,0,0.295,205.311,102.374,4,0.821,b'TRAQQYH12903D0C595'
5232,Gal Costa - Noites Cariocas (Minhas Noites Sem Sono),5545982,189.57016,0.171,11,0.099,-12.485,0,0.225,185.765,177.281,1,0.0,b'TRAQXOQ128F93228A9'
5233,Kapelle Herrenweide - Nie mehr heim,7647376,270.62812,0.101,4,0.702,-12.325,0,0.622,248.947,96.596,3,0.759,b'TRAQXAZ12903CF156D'
5234,The Box Tops - People Make The World,3400828,148.61016,0.177,7,0.485,-12.345,1,0.667,139.952,110.771,3,1.0,b'TRAQXKZ128F429D175'
5235,Percy Faith - I Loves You Porgy,8036160,159.76444,2.914,5,0.564,-16.445,1,0.731,152.561,89.924,1,0.455,b'TRAQXYU12903CD9262'
5236,Steel Pulse - House of Love,6682633,261.35465,0.183,4,0.253,-6.653,1,0.267,245.499,168.242,4,0.643,b'TRAQXJY12903CF3A0E'
5237,Thriller U - Dancehall Man,4680968,235.12771,0.0,9,0.352,-10.677,0,0.334,229.674,72.305,3,0.714,b'TRAQEOO128F9336721'
5238,The Real Kids - Better Be Good,7129142,252.26404,0.297,4,0.374,-14.655,1,0.231,249.435,162.771,1,0.0,b'TRAQEZO128F9345243'
5239,Juan Carlos Baglietto - Todo A Mi Favor,1544866,218.09587,0.456,4,0.598,-15.459,1,0.53,213.031,131.624,1,1.0,b'TRAQELO128F42595F5'
5240,Jimmy Johnson - Country Preacher,3642228,287.32036,0.398,9,0.612,-8.581,0,0.486,263.819,98.929,4,0.728,b'TRAQESC128F92D9527'
5241,Vickie Winans - Boyfriends,7643053,108.45995,0.0,1,0.364,-18.871,1,0.418,105.424,124.734,1,0.0,b'TRAQEJH12903CF048F'
5242,Daniel Johnston - Come To Me Tonight,993214,115.35628,0.073,9,0.232,-11.092,1,0.296,109.714,158.304,7,0.627,b'TRAQELD128F4274F52'
5243,Behemoth - Chant For Eschaton 2000,3068319,321.48853,0.0,2,0.593,-4.146,1,0.319,303.659,156.261,4,0.435,b'TRAQEUQ128F425282E'
5244,Martin Sexton - Caught In The Rain,5749926,277.39383,0.325,2,0.62,-14.15,1,0.547,265.903,109.889,3,0.646,b'TRAQEOG128F9353981'
5245,Jaydee - Plastic Dreams,5613873,265.84771,0.0,1,0.266,-7.855,1,0.269,258.786,124.553,4,0.983,b'TRAQEEB128F9332D97'
5246,Shakira - Tú,6363055,214.12526,0.253,0,0.342,-10.65,1,0.43,205.798,139.95,4,0.0,b'TRAQEOP12903CA65E2'
5247,Kim English - Treat Me Right (Jon Cutler Album Version),410424,292.5971,0.142,4,0.24,-5.193,0,0.259,283.162,123.978,4,1.0,b'TRAQEKV128F147B762'
5248,Auf Der Maur - Taste You,3068590,277.89016,0.0,9,0.42,-7.319,0,0.515,261.637,125.05,3,0.761,b'TRAQEKD128F425293D'
5249,Flamin' Groovies - Carol,3412795,195.39546,0.282,9,0.438,-3.215,1,0.428,190.578,172.502,1,0.0,b'TRAQEFY128F42A0036'
5250,Sick Puppies - Deliverance,771685,190.9024,0.218,5,0.557,-4.531,1,0.524,190.902,91.145,4,0.664,b'TRAQEVV128EF34E413'
5251,Xzibit featuring Jayo Felony and Method Man - Pu**y Pop,3258972,201.06404,0.52,6,0.665,-8.011,0,0.525,190.02,96.058,4,0.99,b'TRAQBTT128F427AE7D'
5252,Simply Red - Good Times Have Done Me Wrong (live) - exclusive version,5267726,305.162,0.932,1,0.462,-6.569,0,0.542,297.494,90.031,4,0.801,b'TRAQBRP128F92DFCEF'
5253,Pinchers - My Heart Is Booked,5327433,221.88363,0.543,2,0.674,-12.783,1,0.716,213.42,176.536,4,0.612,b'TRAQBCD128F92EE352'
5254,Orquesta Sublime - Me Dicen El Feliz,8156419,222.14485,0.0,7,0.914,-7.911,1,0.752,222.145,95.136,1,0.049,b'TRAQBSN12903CF6797'
5255,Laurie Berkner - ABCD Medley,7029345,182.22975,0.432,7,0.62,-11.498,1,0.729,175.299,128.43,4,0.241,b'TRAQBGZ128F932CD62'
5256,Junior Reid - Skank and Dub,1181924,220.47302,4.801,7,0.11,-11.206,1,0.43,209.038,139.898,4,0.0,b'TRAQBGF128F429C893'
5257,Warrior King - Another Love Song,1526043,204.38159,0.0,11,0.429,-6.134,0,0.413,196.824,153.977,4,0.824,b'TRAQBNL128F4254D13'
5258,Les Malpolis - Plus chère la vie,7184007,298.89261,0.0,11,0.645,-4.03,0,0.648,290.783,96.521,1,0.218,b'TRAQBXG128F9352821'
5259,Aleks Syntek - Un Espacio Para Andar (2002 Digital Remaster),1561992,275.19955,0.276,6,0.19,-6.73,0,0.368,260.4,120.029,7,0.453,b'TRAQBVO128F425D1F9'
5260,Hot Club Of Cowtown - Cabiria,5068165,203.96363,2.595,0,0.529,-10.881,1,0.582,199.918,132.073,1,0.0,b'TRAQBTU128F931BB1D'
5261,Frank Stokes - It Won't Be Long Now,1877661,188.89098,0.403,1,0.051,-19.27,1,0.506,183.827,94.73,4,0.798,b'TRAQBNL128F421DC67'
5262,AZ - Aziatic (Outro),276239,60.21179,0.073,2,0.048,-7.459,1,0.457,60.212,87.599,4,1.0,b'TRAQKUB128F1460B81'
5263,Black History - Problem Inna the System,3869997,251.402,0.282,5,0.054,-10.062,0,0.325,237.819,127.27,5,0.974,b'TRAQKZA128F9306913'
5264,Kékélé - Yo Odeconer,2809267,309.49832,0.411,9,0.717,-7.821,1,0.704,300.809,115.072,4,0.0,b'TRAQKIM128F42618D0'
5265,The Clash - Inoculated City,3123779,130.63791,0.086,2,0.674,-13.143,1,0.659,116.686,87.657,5,0.826,b'TRAQKVC128F425E65C'
5266,Tabu Ley Rochereau - Kassoule,2444208,173.19138,0.0,0,0.191,-13.029,1,0.479,166.208,100.009,4,0.324,b'TRAQKTC128F429211E'
5267,Jeff Scott Soto - Colour My XTC,7438398,298.05669,0.0,10,0.0,-4.304,0,0.288,295.184,180.974,4,0.122,b'TRAQKCG12903CBE810'
5268,Gerard Lenorman - Voici Les Clés,3271338,227.39546,2.241,2,0.152,-8.811,1,0.278,218.552,121.832,1,0.553,b'TRAQKPR128F427DDF8'
5269,Groucho Marx - Show Fifteen with Bernard Sampson & Robert Sewell,4207124,321.20118,0.2,4,0.593,-9.332,1,0.515,317.632,131.128,5,0.539,b'TRAQKAH128F92D62A7'
5270,Wendy Moten - Make This Love Last,253419,230.37342,0.445,5,0.615,-8.634,1,0.305,221.344,109.001,4,0.558,b'TRAQKVM128F145BB26'
5271,Super700 - The Other Side,5746003,47.28118,0.194,6,0.445,-8.878,0,0.54,44.756,64.101,1,0.278,b'TRAQKCW128F9352A52'
5272,Eddy Arnold - Enclosed_ One Broken Heart,7576927,156.21179,0.171,3,0.0,-11.375,1,0.0,151.632,42.086,4,0.0,b'TRAQLOT12903CE025B'
5273,Andreas Dorau - Du Verstehst Mich Nicht,1676211,267.36281,0.0,0,0.002,-9.752,1,0.243,254.949,118.975,4,0.924,b'TRAQLXW128F4278459'
5274,Pink Floyd - The Grand Vizier's Garden Party (Entrance) (1994 Digital Remaster),1338750,60.13342,0.712,7,0.399,-20.11,1,0.473,60.133,65.61,4,0.75,b'TRAQLMY128F42313D6'
5275,Johnny Osbourne - Turn Me On,8926483,271.5424,0.0,9,0.058,-8.227,1,0.338,263.268,91.775,5,0.341,b'TRAQLWZ12903CC77C2'
5276,Steve Green - Honor The Lord (He Holds The Keys Album Version),3975162,147.40853,0.321,0,0.535,-13.051,1,0.588,144.486,168.34,4,0.563,b'TRAQLIE128F931C3F3'
5277,Enrique Iglesias - Dicen Por Ahi,267621,229.0673,0.409,0,0.667,-6.947,1,0.799,219.208,101.43,4,0.415,b'TRAQLOD128F145EC9D'
5278,Judas Iscariot - Babylon,1267972,393.89995,0.357,2,0.049,-7.736,1,0.367,389.671,135.39,4,0.5,b'TRAQLNE128F42AC1AF'
5279,Melatonin - Le complexe de Sisyphe,8557720,233.11628,5.7,10,0.542,-9.443,0,0.585,205.224,127.989,4,0.41,b'TRAQLFD12903CE16C7'
5280,André Verchuren - Jalousie,4289339,194.82077,0.107,2,0.59,-9.865,1,0.457,192.238,123.249,3,0.985,b'TRAQLTJ128F92E7FEE'
5281,Russ Taff - We Will Stand,3124744,343.37914,0.0,2,0.452,-9.193,1,0.696,343.379,124.343,4,0.645,b'TRAQYXL128F425EA21'
5282,Electric Light Orchestra - Indian Queen,3229053,57.44281,2.119,1,0.691,-21.488,1,0.659,52.547,92.502,1,0.478,b'TRAQYZI128F4273CF3'
5283,To My Surprise - Easy or Not (Album Version),6893037,175.22893,0.0,7,0.707,-2.17,1,0.553,169.918,149.654,4,0.442,b'TRAQYZO128F930BC98'
5284,The Shirrows - Jenny Jenny,7847965,361.9522,0.485,4,0.535,-5.417,1,0.508,356.153,173.776,4,0.0,b'TRAQYMX12903CAB6C6'
5285,Loudon Wainwright III - How Old Are You,4405379,128.15628,0.0,9,0.041,-16.117,1,0.308,124.285,193.637,4,0.0,b'TRAQYVG128F92FE7E1'
5286,Mazz - Con La Tinta De Mi Sangre,1562636,183.562,0.37,7,0.712,-10.295,1,0.656,177.331,104.055,4,0.0,b'TRAQYSF128F425D3D8'
5287,The Del McCoury Band - Hillcrest Drive,8388181,198.63465,0.297,11,0.745,-8.61,1,0.664,189.812,163.92,4,0.317,b'TRAQYZO12903CB818E'
5288,Daddy Yankee - Descontrol,8763393,172.90404,0.0,1,0.0,-4.064,1,0.0,169.744,93.029,4,0.748,b'TRAQYFL12903D138CF'
5289,Busta Rhymes - Genesis,6160741,231.60118,0.0,1,0.151,-10.067,0,0.382,226.975,106.961,5,1.0,b'TRAQYOC128F9341CDC'
5290,Cancer Bats - Engine Skull,5964841,159.29424,0.136,5,0.412,-3.276,1,0.402,156.45,110.096,4,0.0,b'TRAQYWJ128F931282C'
5291,Mississippi Fred McDowell - You Gotta Move,2394375,226.37669,0.264,8,0.0,-15.448,0,0.163,216.549,69.347,4,0.789,b'TRAQYUA128F428742F'
5292,John Cephas & Phil Wiggins - Twelve Gates To The City,4911532,158.30159,0.218,9,1.0,-14.947,1,0.89,152.445,101.863,1,0.0,b'TRAQYRR128F92F8632'
5293,Mae West - Put It Off Until Tomorrow,5340042,150.49098,0.0,2,0.0,-16.198,0,0.134,143.18,101.276,7,0.634,b'TRAQPHP128F92F1464'
5294,Dave Eggar - Dream Of Ice,2623811,224.73098,0.409,4,0.35,-29.084,1,0.603,197.939,117.298,5,1.0,b'TRAQPAW128F423666C'
5295,Soulwax - Soul Simplicity,1277890,274.78159,4.812,11,0.037,-9.061,1,0.576,265.346,96.02,4,0.367,b'TRAQPHD128F4226E5E'
5296,David Andreu - El Sabor lo Pongo Yo,5618582,250.56608,0.0,11,0.182,-6.063,0,0.487,240.042,222.02,7,0.0,b'TRAQPWZ128F9333FF8'
5297,Aerosmith - Livin' On The Edge,148372,324.07465,0.0,2,0.723,-5.746,1,0.549,324.075,101.66,4,0.636,b'TRAQPKV128E078EE32'
5298,This Is Hell - REALIZATION: REMORSE,7942744,106.39628,0.0,6,0.0,-5.726,1,0.0,106.396,83.335,3,0.562,b'TRAQPFR12903CC26CF'
5299,SNAP! - Mary Had A Little Boy (Maestro Mix),4607653,327.78404,0.363,6,0.073,-10.232,1,0.41,324.441,121.102,4,1.0,b'TRAQPZK128F9326C80'
5300,Sister Hazel - Come Around (Acoustic),2946769,283.48036,0.0,9,0.689,-6.594,1,0.525,283.48,195.633,4,0.606,b'TRAQPKX128F428146D'
5301,Mayday - Groundhog Day f/Cee-Lo Green & DJ Craze,462764,233.84771,0.0,5,0.598,-5.646,0,0.808,228.879,178.719,4,0.533,b'TRAQPJU128F1484689'
5302,Donna The Buffalo - Visitor,5200452,251.42812,0.403,0,0.844,-12.667,1,0.916,243.955,172.076,1,0.0,b'TRAQPGM128F933B997'
5303,Claire Hamill - Icicle Rain,4187030,313.05098,0.392,0,0.454,-11.878,1,0.463,304.03,111.856,4,1.0,b'TRAQWEF128F92D2831'
5304,Marcelo Radulovich - Non-Stop Floater,3628160,267.59791,2.229,0,0.436,-11.054,1,0.46,267.598,144.902,5,0.817,b'TRAQWVS128F92D6481'
5305,Shriekback - The Strongest Wind That Blows,2413078,286.06649,0.444,10,0.583,-12.519,0,0.628,277.583,84.983,4,0.909,b'TRAQWKC128F428BD2C'
5306,Bob Neuwirth - Great Escape (Good Intentions),2095464,312.5024,0.466,2,0.943,-11.393,1,0.743,303.787,103.327,4,0.944,b'TRAQWJZ128F4243C9B'
5307,The Marx Brothers - Main Title/Animal Crackers,2602585,102.13832,0.408,0,0.478,-13.742,0,0.503,102.138,94.547,4,0.0,b'TRAQWUU128F4231383'
5308,Nikos Xilouris - Ki An O Ageras Fisa,5495560,109.50485,0.0,7,1.0,-11.134,1,0.829,103.207,106.435,4,0.854,b'TRAQWXH128F93163FE'
5309,The Tokens - Ill Always Love You,5147542,149.34159,0.247,0,0.629,-10.68,1,0.646,140.132,101.809,3,1.0,b'TRAQWGP128F932EAFE'
5310,Dax Riggs - Ouroboros,3014555,91.19302,0.0,8,1.0,-13.234,1,0.933,91.193,108.826,1,0.0,b'TRAXRWA128F42464CD'
5311,Messy Marv featuring Clover Geez - Still Ballin,8608778,285.85751,0.293,2,0.158,-5.608,1,0.366,279.731,173.919,4,0.136,b'TRAXRPG12903CEDD73'
5312,Walter Trout - Running in Place,7243626,325.14567,0.535,0,0.953,-8.677,0,0.84,307.217,89.638,4,0.0,b'TRAXRRI128F93610C3'
5313,Curtis - Not Going Back Again,1064878,209.44934,0.647,11,0.034,-13.35,1,0.414,201.944,37.859,4,0.0,b'TRAXRQZ128F4285FE5'
5314,Bad Religion - Infected,3497047,247.58812,0.0,10,0.438,-8.512,1,0.54,229.262,121.524,4,0.468,b'TRAXRSK128F42B44D2'
5315,Negura Bunget - Tara De dinicolo De Negura,8621378,353.95873,0.0,11,0.549,-4.388,1,0.431,346.964,149.14,4,0.554,b'TRAXRHD12903CF0EAB'
5316,Beastie Boys - Flute Loop (2009 Digital Remaster),5446641,114.52036,0.0,7,0.178,-8.649,1,0.469,107.99,104.487,4,0.443,b'TRAXRGF128F930A59F'
5317,Murskahumppa - Stora kusetus,7717124,92.23791,0.0,7,0.361,-7.228,1,0.473,92.238,138.796,4,0.819,b'TRAXRLL12903D02559'
5318,Jacques Dutronc - Les Playboys (Version Espagnole),3113946,189.36118,3.529,4,0.568,-9.774,1,0.532,185.452,112.78,4,0.322,b'TRAXRLN128F425C047'
5319,Marilyn Scott - Take Me With You,6967881,245.62893,0.0,6,0.369,-11.574,1,0.481,237.018,110.226,4,0.79,b'TRAXRAA128F931DFC4'
5320,Babylon Disco - Funk You,5264868,153.44281,2.421,1,0.044,-5.144,1,0.159,149.589,133.353,5,0.711,b'TRAXRUB128F92DF1CF'
5321,Sex Pistols - I'm A Lazy Sod (Live),9025234,126.06649,0.16,8,0.663,-4.871,1,0.501,126.066,130.429,1,0.833,b'TRAXUIZ12903CDF737'
5322,The Kitchen - ...And He Loves It,6679670,135.8624,0.0,3,0.0,-6.361,1,0.0,131.64,78.681,4,0.0,b'TRAXUQB12903CF2E82'
5323,N.E.R.D. - Don't Worry About It (Edited),108765,221.54404,0.0,6,0.725,-5.005,1,0.581,218.5,61.303,1,1.0,b'TRAXUHM128E078900C'
5324,The Refreshments - Rock'n'Roll Heaven,6449863,168.4371,0.0,2,0.021,-4.865,1,0.349,164.235,147.02,4,0.236,b'TRAXUQL12903CBB3B7'
5325,Penguin Café Orchestra - Bean Fields (Live) (2001 Digital Remaster),627505,277.21098,7.535,2,0.706,-17.726,1,0.806,270.576,129.691,1,0.0,b'TRAXUPL128F14A4E4B'
5326,Fontella Bass - Rescue Me,5535875,165.72036,0.0,11,0.0,-9.155,0,0.049,153.13,124.369,1,0.0,b'TRAXULE128F9320132'
5327,Lili Ivanova - Izgaryam,8600506,268.53832,0.166,9,0.597,-7.402,0,0.609,260.603,96.236,3,0.781,b'TRAXUVK12903CEBD51'
5328,Her Majesty's Finest - Prof. Henry Stills,993318,149.34159,0.119,6,0.869,-5.135,1,1.0,140.388,112.519,1,0.0,b'TRAXUUN128F4274FB9'
5329,Seguridad Social - Soc Mediterrani,1440498,378.04363,0.0,0,1.0,-5.17,1,0.746,364.025,140.043,3,1.0,b'TRAXUBQ128F4242E2F'
5330,W.A.S.P. - Heaven's Hung In Black (Reprise),1731295,193.74975,0.45,8,0.006,-7.944,0,0.364,184.274,161.032,7,0.933,b'TRAXUPN128F42855C8'
5331,Ram Squad - Dirty South,7494110,249.36444,0.0,2,0.811,-8.665,1,0.769,246.799,145.944,4,0.679,b'TRAXUYT12903CCBF21'
5332,The Sonics - Love Lights,6096202,171.15383,0.242,9,0.561,-14.876,0,0.455,153.919,163.371,3,0.719,b'TRAXUBG128F9332164'
5333,Kelly Sweet - Ready For Love,7031758,256.93995,0.173,10,0.735,-8.036,1,0.647,240.524,130.106,4,0.475,b'TRAXUQL128F932D6C4'
5334,Montserrat Caballé/Royal Philharmonic Orchestra/Lamberto Gardelli - Guillaume Tell_ Acte II (1988 Digital Remaster): Ils s'éloignent enfin....Sombre forêt,197316,498.80771,3.082,8,0.611,-23.576,1,0.724,489.436,53.766,3,0.894,b'TRAXIDU128E0798B24'
5335,Jonn Serrie - Gentle; the Night (from And the Stars Go With You),215045,435.69587,11.564,0,0.245,-23.129,0,0.316,430.835,112.176,4,0.234,b'TRAXIRB128F1453629'
5336,fIREHOSE - Towin' The Line,3141062,167.3922,0.798,9,0.752,-10.958,1,0.54,159.515,90.653,4,0.985,b'TRAXIVK128F42628CA'
5337,Yvette Horner - En Souplesse,5145433,162.19383,0.067,6,0.311,-12.8,0,0.411,158.714,189.534,1,0.0,b'TRAXIXV128F932E2C2'
5338,Bobby Vee - The Story Of My Life,481473,143.35955,0.215,11,0.805,-7.22,1,0.716,137.004,128.599,4,0.0,b'TRAXIPR128F14882B2'
